"Monster","CR","Monster_STR","STR_Mod","Monster_DEX","DEX_Mod","Monster_CON","CON_Mod","Monster_INT","INT_Mod","Monster_WIS","WIS_Mod","Monster_CHA","CHA_Mod","Stats.1","Stats.2","Stats_3","Stats_4","Stats_5","Stats_6","Stats_7"
"Firenewt Warrior",0.5,10,0,13,1,12,1,7,-2,11,0,8,-1,"Damage Immunities fire","Languages Draconic, Ignan",NA,NA,NA,NA,NA
"Flail Snail",3,17,3,5,-3,20,5,3,-4,10,0,5,-3,"Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 60 ft., tremorsense 60 ft.",NA,NA,NA,NA
"Flameskull",4,1,-5,17,3,14,2,16,3,10,0,11,0,"Skills Arcana +5, Perception +2","Damage Resistances lightning, necrotic, piercing","Damage Immunities cold, fire, poison","Condition Immunities charmed, frightened, paralyzed, poisoned, prone","Senses darkvision 60 ft.","Languages Common",NA
"Flamewrath",6,10,0,14,2,16,3,11,0,10,0,16,3,"Skills Arcana +3, Religion +3","Damage Immunities fire","Languages Common, Ignan",NA,NA,NA,NA
"Flesh Golem",5,19,4,9,-1,18,4,6,-2,10,0,5,-3,"Damage Immunities lightning, poison, bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine","Condition Immunities charmed, exhaustion, frightened, paralyzed, petrified, poisoned","Senses darkvision 60 ft.","Languages understands the languages of its creator but can't speak",NA,NA,NA
"Flind",9,20,5,10,0,19,4,11,0,13,1,12,1,"Saving Throws Con +8, Wis +5","Skills Intimidation +5, Perception +5","Senses darkvision 60 ft.","Languages Abyssal, Gnoll",NA,NA,NA
"Flumph",0.125,6,-2,15,2,10,0,14,2,14,2,11,0,"Skills Arcana +4, History +4, Religion +4","Damage Vulnerabilities psychic","Senses darkvision 60 ft.","Languages understands Undercommon but can't speak, telepathy 60 ft.",NA,NA,NA
"Flying Snake",0.125,4,-3,18,4,11,0,2,-4,12,1,5,-3,"Senses blindsight 10 ft.",NA,NA,NA,NA,NA,NA
"Flying Sword",0.25,12,1,15,2,11,0,1,-5,5,-3,1,-5,"Saving Throws Dex +4","Damage Immunities poison, psychic","Condition Immunities blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,NA
"Fomorian",8,23,6,10,0,20,5,9,-1,14,2,6,-2,"Skills Perception +8, Stealth +3","Senses darkvision 120 ft.","Languages Giant, Undercommon",NA,NA,NA,NA
"Fraz-Urb'luu",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frog",0,1,-5,13,1,8,-1,1,-5,8,-1,3,-4,"Skills Perception +1, Stealth +3","Senses darkvision 30 ft.",NA,NA,NA,NA,NA
"Froghemoth",10,23,6,13,1,20,5,2,-4,12,1,5,-3,"Saving Throws Con +9, Wis +5","Skills Perception +9, Stealth +5","Damage Resistances fire, lightning","Senses darkvision 60 ft.",NA,NA,"The froghemoth's gullet can hold up to two creatures at a time. If the Froghemoth takes 20 damage or more on a single turn from a creature inside it, the Froghemoth must succeed on a DC 20 Constitution saving throw at the end of that turn or regurgitate all swallowed creatures, each of which falls prone in a space within 10 feet of the froghemoth. If the froghemoth dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 10 feet of movement, exiting prone."
"Frost Giant",8,23,6,9,-1,21,5,9,-1,10,0,12,1,"Saving Throws Con +8, Wis +3, Cha +4","Skills Athletics +9, Perception +3","Damage Immunities cold","Languages Giant",NA,NA,NA
"Frost Giant Everlasting One",12,25,7,9,-1,24,7,9,-1,10,0,12,1,"Saving Throws Str +11, Con +11, Wis +4","Skills Athletics +11, Perception +4","Damage Immunities cold","Senses darkvision 60 ft.","Languages Giant",NA,NA
"Frulam Mondath",2,14,2,10,0,13,1,11,0,18,4,15,2,"Saving Throws Wis +6, Cha +4","Skills Deception +4, History +2, Religion +2","Languages Common, Draconic, Infernal",NA,NA,NA,NA
"Galeb Duhr",6,20,5,14,2,20,5,11,0,12,1,11,0,"Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities exhaustion, paralyzed, poisoned, petrified","Senses darkvision 60 ft., tremorsense 60 ft.","Languages Terran",NA,NA
"Gar Shatterkeel",9,15,2,15,2,16,3,12,1,18,4,13,1,"Skills Nature +8, Survival +8","Damage Resistances cold","Languages Aquan, Common",NA,NA,NA,NA
"Gargoyle",2,15,2,11,0,16,3,6,-2,11,0,7,-2,"Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine","Damage Immunities poison","Condition Immunities exhaustion, petrified, poisoned","Senses darkvision 60 ft.","Languages Terran",NA,NA
"Gas Spore",0.5,5,-3,1,-5,3,-4,1,-5,1,-5,1,-5,"Damage Immunities poison","Condition Immunities blinded, deafened, frightened, paralyzed, poisoned, prone","Senses blindsight 30 ft. (blind beyond this radius)",NA,NA,NA,NA
"Gauth",6,10,0,14,2,16,3,15,2,15,2,13,1,"Saving Throws Int +5, Wis +5, Cha +4","Skills Perception +5","Condition Immunities prone","Senses darkvision 120 ft.","Languages Deep Speech, Undercommon",NA,NA
"Gazer",0.5,3,-4,17,3,14,2,3,-4,10,0,7,-2,"Saving Throws Wis +2","Skills Perception +4, Stealth +2","Condition Immunities prone","Senses darkvision 60 ft.",NA,NA,"If the target is an object weighing 10 pounds or less that isn't being worn or carried, the gazer moves it up to 30 feet in any direction. The gazer can also exert fine control on objects with this ray, such as manipulating a simple tool or opening a container."
"Gelatinous Cube",2,14,2,3,-4,20,5,1,-5,6,-2,1,-5,"Condition Immunities blinded, charmed, deafened, exhaustion, frightened, prone","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,NA,NA,NA
"Ghald",7,19,4,17,3,16,3,14,2,13,1,17,3,"Saving Throws Dex +6, Con +6, Int +5, Wis +4","Skills Insight +4, Perception +7","Senses darkvision 120 ft.","Languages Common, Sahuagin",NA,NA,NA
"Ghast",2,16,3,17,3,10,0,11,0,10,0,8,-1,"Damage Immunities necrotic","Condition Immunities poisoned","Senses darkvision 60 ft.","Languages Common",NA,NA,NA
"Ghost",4,7,-2,13,1,10,0,10,0,12,1,17,3,"Damage Resistances acid, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities cold, necrotic, poison","Condition Immunities charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","Senses darkvision 60 ft.","Languages any languages it knew in life",NA,NA
"Ghoul",1,13,1,15,2,10,0,7,-2,10,0,6,-2,"Condition Immunities poisoned","Senses darkvision 60 ft.","Languages Common",NA,NA,NA,NA
"Giant Ape",7,23,6,14,2,18,4,7,-2,12,1,7,-2,"Skills Athletics +9, Perception +4",NA,NA,NA,NA,NA,NA
"Giant Badger",0.25,13,1,10,0,15,2,2,-4,12,1,5,-3,"Senses darkvision 30 ft.",NA,NA,NA,NA,NA,NA
"Giant Bat",0.25,15,2,16,3,11,0,2,-4,12,1,6,-2,"Senses blindsight 60 ft.",NA,NA,NA,NA,NA,NA
"Giant Boar",2,17,3,10,0,16,3,2,-4,7,-2,5,-3,NA,NA,NA,NA,NA,NA,NA
"Giant Centipede",0.25,5,-3,14,2,12,1,1,-5,7,-2,3,-4,"Senses blindsight 30 ft.",NA,NA,NA,NA,NA,NA
"Giant Constrictor Snake",2,19,4,14,2,12,1,1,-5,10,0,3,-4,"Skills Perception +2","Senses blindsight 10 ft.",NA,NA,NA,NA,NA
"Giant Crab",0.125,13,1,15,2,11,0,1,-5,9,-1,3,-4,"Skills Stealth +4","Senses blindsight 30 ft.",NA,NA,NA,NA,NA
"Giant Crayfish",2,15,2,13,1,13,1,1,-5,9,-1,3,-4,"Skills Stealth +3","Senses blindsight 30 ft.",NA,NA,NA,NA,NA
"Giant Crocodile",5,21,5,9,-1,17,3,2,-4,10,0,7,-2,"Skills Stealth +5",NA,NA,NA,NA,NA,NA
"Giant Eagle",1,16,3,17,3,13,1,8,-1,14,2,10,0,"Skills Perception +4","Languages Giant Eagle, understands Common and Auran but can't speak",NA,NA,NA,NA,NA
"Giant Elk",2,19,4,16,3,14,2,7,-2,14,2,10,0,"Skills Perception +4","Languages Giant Elk, understands Common, Elvish, and Sylvan but can't speak",NA,NA,NA,NA,NA
"Giant Fire Beetle",0,8,-1,10,0,12,1,1,-5,7,-2,3,-4,"Senses blindsight 30 ft.",NA,NA,NA,NA,NA,NA
"Giant Fly",0,14,2,13,1,13,1,2,-4,10,0,3,-4,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Giant Frog",0.25,12,1,13,1,11,0,2,-4,10,0,3,-4,"Skills Perception +2, Stealth +3","Senses darkvision 30 ft.",NA,NA,NA,NA,NA
"Giant Goat",0.5,17,3,11,0,12,1,3,-4,12,1,6,-2,NA,NA,NA,NA,NA,NA,NA
"Giant Hyena",1,16,3,14,2,14,2,2,-4,12,1,7,-2,"Skills Perception +3",NA,NA,NA,NA,NA,NA
"Giant Lightning Eel",3,11,0,17,3,16,3,2,-4,12,1,3,-4,"Damage Resistances lightning","Senses blindsight 60 ft.",NA,NA,NA,NA,NA
"Giant Lizard",0.25,15,2,12,1,13,1,2,-4,10,0,5,-3,"Senses darkvision 30 ft.",NA,NA,NA,NA,NA,NA
"Giant Octopus",1,17,3,13,1,13,1,4,-3,10,0,4,-3,"Skills Perception +4, Stealth +5","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Giant Owl",0.25,13,1,15,2,12,1,8,-1,13,1,10,0,"Skills Perception +5, Stealth +4","Senses darkvision 120 ft.","Languages Giant Owl, understands Common, Elvish, and Sylvan but can't speak",NA,NA,NA,NA
"Giant Poisonous Snake",0.25,10,0,18,4,13,1,2,-4,10,0,3,-4,"Skills Perception +2","Senses blindsight 10 ft.",NA,NA,NA,NA,NA
"Giant Rat",0.125,7,-2,15,2,11,0,2,-4,10,0,4,-3,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Giant Rat (Diseased)",0.125,7,-2,15,2,11,0,2,-4,10,0,4,-3,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Giant Scorpion",3,15,2,13,1,15,2,1,-5,9,-1,3,-4,"Senses blindsight 60 ft.",NA,NA,NA,NA,NA,NA
"Giant Sea Horse",0.5,12,1,15,2,11,0,2,-4,12,1,5,-3,NA,NA,NA,NA,NA,NA,NA
"Giant Shark",5,23,6,11,0,21,5,1,-5,10,0,5,-3,"Skills Perception +3","Senses blindsight 60 ft.",NA,NA,NA,NA,NA
"Giant Spider",1,14,2,16,3,12,1,2,-4,11,0,4,-3,"Skills Stealth +7","Senses blindsight 10 ft., darkvision 60 ft.",NA,NA,NA,NA,NA
"Giant Strider",1,18,4,13,1,14,2,4,-3,12,1,6,-2,"Damage Immunities fire",NA,NA,NA,NA,NA,NA
"Giant Subterranean Lizard",4,21,5,9,-1,17,3,2,-4,10,0,7,-2,"Skills Stealth +3",NA,NA,"If the lizard dies, a swallowed creature is no longer restrained by it and can escape from the corpse using 10 feet of movement, exiting prone.",NA,NA,NA
"Giant Toad",1,15,2,13,1,13,1,2,-4,10,0,3,-4,"Senses darkvision 30 ft.",NA,NA,NA,NA,NA,NA
"Giant Vulture",1,15,2,10,0,15,2,6,-2,12,1,7,-2,"Skills Perception +3","Languages understands Common but can't speak",NA,NA,NA,NA,NA
"Giant Wasp",0.5,10,0,14,2,10,0,1,-5,10,0,3,-4,NA,NA,NA,NA,NA,NA,NA
"Giant Weasel",0.125,11,0,16,3,10,0,4,-3,12,1,5,-3,"Skills Perception +3, Stealth +5","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Giant Wolf Spider",0.25,12,1,16,3,13,1,3,-4,12,1,4,-3,"Skills Perception +3, Stealth +7","Senses blindsight 10 ft., darkvision 60 ft.",NA,NA,NA,NA,NA
"Gibbering Mouther",2,10,0,8,-1,16,3,3,-4,10,0,6,-2,"Condition Immunities prone","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Girallon",4,18,4,16,3,16,3,5,-3,12,1,7,-2,"Skills Perception +3, Stealth +5","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Githyanki Knight",8,16,3,14,2,15,2,14,2,14,2,15,2,"Saving Throws Con +5, Int +5, Wis +5","Languages Gith",NA,NA,NA,NA,NA
"Githyanki Warrior",3,15,2,14,2,12,1,13,1,13,1,10,0,"Saving Throws Con +3, Int +3, Wis +3","Languages Gith",NA,NA,NA,NA,NA
"Githzerai Monk",2,12,1,15,2,12,1,13,1,14,2,10,0,"Saving Throws Str +3, Dex +4, Int +3, Wis +4","Skills Insight +4, Perception +4","Languages Gith",NA,NA,NA,NA
"Githzerai Zerth",6,13,1,18,4,15,2,16,3,17,3,12,1,"Saving Throws Str +4, Dex +7, Int +6, Wis +6","Skills Arcana +6, Insight +6, Perception +6","Languages Gith",NA,NA,NA,NA
"Glabrezu",9,20,5,15,2,21,5,19,4,17,3,16,3,"Saving Throws Str +9, Con +9, Wis +7, Cha +7","Damage Resistances cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities poisoned","Senses truesight 120 ft.","Languages Abyssal, telepathy 120 ft.",NA
"Gladiator",5,18,4,15,2,16,3,10,0,12,1,15,2,"Saving Throws Str +7, Dex +5, Con +6","Skills Athletics +10, Intimidation +5","Languages any one language (usually Common)",NA,NA,"Reactions",NA
"Gnoll",0.5,14,2,12,1,11,0,6,-2,10,0,7,-2,"Senses darkvision 60 ft.","Languages Gnoll",NA,NA,NA,NA,NA
"Gnoll Fang of Yeenoghu",4,17,3,15,2,15,2,10,0,11,0,13,1,"Saving Throws Con +4, Wis +2, Cha +3","Senses darkvision 60 ft.","Languages Abyssal, Gnoll",NA,NA,NA,NA
"Gnoll Flesh Gnawer",1,12,1,14,2,12,1,8,-1,10,0,8,-1,"Saving Throws Dex +4","Senses darkvision 60 ft.","Languages Gnoll",NA,NA,NA,NA
"Gnoll Hunter",0.5,14,2,14,2,12,1,8,-1,12,1,8,-1,"Skills Perception +3, Stealth +3","Senses darkvision 60 ft.","Languages Gnoll",NA,NA,NA,NA
"Gnoll Pack Lord",2,16,3,14,2,13,1,8,-1,11,0,9,-1,"Senses darkvision 60 ft.","Languages Gnoll",NA,NA,NA,NA,NA
"Gnoll Witherling",0.25,14,2,8,-1,12,1,5,-3,5,-3,5,-3,"Damage Immunities poison","Condition Immunities exhaustion, poisoned","Senses darkvision 60 ft.","Languages understands Gnoll but can't speak",NA,NA,"Reactions"
"Goat",0,12,1,10,0,11,0,2,-4,10,0,5,-3,NA,NA,NA,NA,NA,NA,NA
"Goblin",0.25,8,-1,14,2,10,0,10,0,8,-1,8,-1,"Skills Stealth +6","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA
"Goblin Boss",1,10,0,14,2,10,0,10,0,8,-1,10,0,"Skills Stealth +6","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,"Reactions",NA
"Gold Dragon Wyrmling",3,19,4,14,2,17,3,14,2,11,0,16,3,"Saving Throws Dex +4, Con +5, Wis +2, Cha +5","Skills Perception +4, Stealth +4","Damage Immunities fire","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA,NA
"Gorgon",5,20,5,11,0,18,4,2,-4,12,1,7,-2,"Skills Perception +4","Damage Immunities petrified","Senses darkvision 60 ft.",NA,NA,NA,NA
"Goristro",17,25,7,11,0,15,2,6,-2,13,1,14,2,"Saving Throws Str +13, Dex +6, Con +13, Wis +7","Skills Perception +7","Damage Resistances cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Abyssal"
"Gray Ooze",0.5,12,1,6,-2,16,3,1,-5,6,-2,2,-4,"Skills Stealth +2","Damage Resistances acid, cold, fire","Condition Immunities blinded, charmed, deafened, exhaustion, frightened, prone","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,NA
"Gray Ooze (Psychic)",0.5,12,1,6,-2,16,3,6,-2,6,-2,2,-4,"Skills Stealth +2","Damage Resistances acid, cold, fire","Condition Immunities blinded, charmed, deafened, exhaustion, frightened, prone","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,NA
"Gray Slaad",9,17,3,17,3,16,3,13,1,8,-1,14,2,"Skills Arcana +5, Perception +6","Damage Resistances acid, cold, fire, lightning, thunder","Senses blindsight 60 ft., darkvision 60 ft.","Languages Slaad, telepathy 60 ft.",NA,NA,NA
"Graz'zt",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater Zombie",5,18,4,10,0,17,3,4,-3,6,-2,6,-2,"Saving Throws Wis + 1","Damage Resistances cold, necrotic","Damage Immunities poison","Condition Immunities charmed, exhaustion, frightened, paralyzed, poisoned","Senses darkvision 60 ft.","Languages understands the languages it knew in life but can't speak",NA
"Green Dragon Wyrmling",2,15,2,12,1,13,1,14,2,11,0,13,1,"Saving Throws Dex +3, Con +3, Wis +2, Cha +3","Skills Perception +4, Stealth +3","Damage Immunities poison","Condition Immunities poisoned","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA
"Green Guard Drake",2,16,3,11,0,16,3,4,-3,10,0,7,-2,"Skills Perception +2","Damage Resistances poison","Senses darkvision 60 ft.","Languages understands Draconic but can't speak it",NA,NA,NA
"Green Hag",3,18,4,12,1,16,3,13,1,14,2,14,2,"Skills Arcana +3, Deception +4, Perception +4, Stealth +3","Senses darkvision 60 ft.","Languages Common, Draconic, Sylvan",NA,NA,NA,NA
"Green Slaad",8,18,4,15,2,16,3,11,0,8,-1,12,1,"Skills Arcana +3, Perception +2","Damage Resistances acid, cold, fire, lightning, thunder","Senses blindsight 30 ft., darkvision 60 ft.","Languages Slaad, telepathy 60 ft.",NA,NA,NA
"Grell",3,15,2,14,2,13,1,12,1,11,0,9,-1,"Skills Perception +4, Stealth +6","Damage Immunities lightning","Condition Immunities blinded, prone","Senses blindsight 60 ft. (blind beyond this radius)","Languages Grell",NA,NA
"Grick",2,14,2,14,2,11,0,3,-4,14,2,5,-3,"Damage Resistances bludgeoning, piercing, and slashing damage from nonmagical weapons","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Grick Alpha",7,18,4,16,3,15,2,4,-3,14,2,9,-1,"Damage Resistances bludgeoning, piercing, and slashing damage from nonmagical weapons","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Griffon",2,18,4,15,2,16,3,2,-4,13,1,8,-1,"Skills Perception +5","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Grimlock",0.25,16,3,12,1,12,1,9,-1,8,-1,6,-2,"Skills Athletics +5, Perception +3, Stealth +3","Damage Immunities blinded","Senses blindsight 30 ft. or 10 ft. while deafened (blind beyond this radius)","Languages Undercommon",NA,NA,NA
"Grisha",2,14,2,12,1,12,1,11,0,14,2,16,3,"Saving Throws Wis +4, Cha +5","Skills Persuasion +5, Religion +2","Languages Common, Undercommon",NA,NA,NA,NA
"Grung",0.25,7,-2,14,2,15,2,10,0,11,0,10,0,"Saving Throws Dex +4","Skills Athletics +2, Perception +2, Stealth +4, Survival +2","Damage Immunities poison","Condition Immunities poisoned","Languages Grung",NA,"A creature poisoned by a grung can suffer an additional effect that varies depending on the grung's skin color. This effect lasts until the creature is no longer poisoned by the grung."
"Grung Elite Warrior",2,7,-2,16,3,15,2,10,0,11,0,12,1,"Saving Throws Dex +5","Skills Athletics +2, Perception +2, Stealth +5, Survival +2","Damage Immunities poison","Condition Immunities poisoned","Languages Grung",NA,"A creature poisoned by a grung can suffer an additional effect that varies depending on the grung's skin color. This effect lasts until the creature is no longer poisoned by the grung."
"Grung Wildling",1,7,-2,16,3,15,2,10,0,15,2,11,0,"Saving Throws Dex +5","Skills Athletics +2, Perception +4, Stealth +5, Survival +4","Damage Immunities poison","Condition Immunities poisoned","Languages Grung",NA,"A creature poisoned by a grung can suffer an additional effect that varies depending on the grung's skin color. This effect lasts until the creature is no longer poisoned by the grung."
"Guard",0.125,13,1,12,1,12,1,10,0,11,0,10,0,"Skills Perception +2","Languages any one language (usually Common)",NA,NA,NA,NA,NA
"Guard Drake",2,16,3,11,0,16,3,4,-3,10,0,7,-2,"Skills Perception +2","Senses darkvision 60 ft.","Languages understands Draconic but can't speak it",NA,NA,NA,NA
"Guardian Naga",10,19,4,18,4,16,3,16,3,19,4,18,4,"Saving Throws Dex +8, Con +7, Int +7, Wis +8, Cha +8","Damage Immunities poison","Condition Immunities charmed, poisoned","Senses darkvision 60 ft.","Languages Celestial, Common",NA,NA
"Guardian Portrait",1,1,-5,1,-5,10,0,14,2,10,0,10,0,"Damage Immunities poison","Condition Immunities charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","Senses darkvision 60 ft.","Languages Common, plus up to two other languages",NA,"The magic that animates an object is dispelled when the construct drops to 0 hit points. An animated object reduced to 0 hit points becomes inanimate and is too damaged to be of much use or value to anyone.","3/day each: counterspell, crown of madness, hypnotic pattern, telekinesis"
"Gynosphinx",11,18,4,15,2,16,3,18,4,18,4,18,4,"Skills Arcana +12, History +12, Perception +8, Religion +8","Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities psychic","Condition Immunities charmed, frightened","Senses truesight 120 ft.","Languages Common, Sphinx",NA
"Hadrosaurus",0.25,15,2,10,0,13,1,2,-4,10,0,5,-3,"Skills Perception +2",NA,NA,NA,NA,NA,NA
"Half-Ogre (Ogrillon)",1,17,3,10,0,14,2,7,-2,9,-1,10,0,"Senses darkvision 60 ft.","Languages Common, Giant",NA,NA,NA,NA,NA
"Half-Red Dragon Veteran",5,16,3,13,1,14,2,10,0,11,0,10,0,"Saving Throws Str +5, Con +4","Skills Athletics +5, Perception +2","Damage Resistances fire","Senses blindsight 10 ft., darkvision 60 ft.","Languages Common, Draconic",NA,NA
"Harpy",1,12,1,13,1,12,1,7,-2,10,0,13,1,"Languages Common",NA,NA,NA,NA,NA,NA
"Hawk",0,5,-3,16,3,8,-1,2,-4,14,2,6,-2,"Skills Perception +4",NA,NA,NA,NA,NA,NA
"Hell Hound",3,17,3,12,1,14,2,6,-2,13,1,6,-2,"Skills Perception +5","Damage Immunities fire","Senses darkvision 60 ft.","Languages understands Infernal but can't speak it",NA,NA,NA
"Hellenrae",5,13,1,18,4,14,2,10,0,15,2,13,1,"Skills Acrobatics +7, Athletics +4, Insight +5, Perception +5","Damage Immunities poison","Condition Immunities blinded, poisoned","Senses blindsight 60 ft. (blind beyond this radius)","Languages Common, Terran",NA,NA
"Helmed Horror",4,18,4,13,1,16,3,10,0,10,0,10,0,"Skills Perception +4","Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons that aren't adamantine","Damage Immunities force, necrotic, poison","Condition Immunities blinded, charmed, deafened, frightened, paralyzed, petrified, poisoned, stunned","Senses blindsight 60 ft. (blind beyond this radius)","Languages understands the languages of its creator but can't speak",NA
"Hezrou",8,19,4,17,3,20,5,5,-3,12,1,13,1,"Saving Throws Str +7, Con +8, Wis +4","Damage Resistances cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Abyssal, telepathy 120 ft.",NA
"Hill Giant",5,21,5,8,-1,19,4,5,-3,9,-1,6,-2,"Skills Perception +2","Languages Giant",NA,NA,NA,NA,NA
"Hippogriff",1,17,3,13,1,13,1,2,-4,12,1,8,-1,"Skills Perception +5",NA,NA,NA,NA,NA,NA
"Hobgoblin",0.5,13,1,12,1,12,1,10,0,10,0,9,-1,"Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA,NA
"Hobgoblin Captain",3,15,2,14,2,14,2,12,1,10,0,13,1,"Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA,NA
"Hobgoblin Devastator",4,13,1,12,1,14,2,16,3,13,1,11,0,"Skills Arcana +5","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA
"Hobgoblin Iron Shadow",2,14,2,16,3,15,2,14,2,15,2,11,0,"Skills Acrobatics +5, Athletics +4, Stealth +5","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA
"Hobgoblin Warlord",6,16,3,14,2,16,3,14,2,11,0,15,2,"Saving Throws Int +5, Wis +3, Cha +5","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,"Reactions",NA
"Homunculus",0,4,-3,15,2,11,0,10,0,10,0,7,-2,"Damage Immunities poison","Condition Immunities charmed, poisoned","Senses darkvision 60 ft.","Languages understands the languages of its creator but can't speak",NA,NA,NA
"Hook Horror",3,18,4,10,0,15,2,6,-2,12,1,7,-2,"Skills Perception +3","Senses blindsight 60 ft., darkvision 10 ft.","Languages Hook Horror",NA,NA,NA,NA
"Hook Horror Spore Servant",3,18,4,10,0,15,2,2,-4,6,-2,1,-5,"Damage Resistances poison","Condition Immunities blinded, charmed, frightened, paralyzed","Senses blindsight 30 ft. (blind beyond this radius)","Languages -",NA,NA,NA
"Horned Devil",11,22,6,17,3,21,5,12,1,16,3,17,3,"Saving Throws Str +10, Dex +7, Wis +7, Cha +7","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Infernal, telepathy 120 ft.",NA
"Howling Hatred Initiate",NA,10,0,15,2,10,0,10,0,9,-1,11,0,"Skills Deception +2, Religion +2, Stealth +4","Languages Common",NA,NA,NA,NA,NA
"Howling Hatred Priest",2,12,1,16,3,10,0,14,2,10,0,14,2,"Skills Acrobatics +5, Intimidation +4, Religion +4","Languages Auran, Common",NA,NA,NA,NA,NA
"Hulking Crab",5,19,4,8,-1,16,3,3,-4,11,0,3,-4,"Skills Stealth +2","Senses blindsight 30 ft.","Languages --",NA,NA,NA,NA
"Hunter Shark",2,18,4,13,1,15,2,1,-5,10,0,4,-3,"Skills Perception +2","Senses darkvision 30 ft.",NA,NA,NA,NA,NA
"Hurricane",2,12,1,16,3,13,1,10,0,12,1,10,0,"Skills Acrobatics +5","Languages Auran, Common",NA,NA,"Reactions",NA,NA
"Hydra",8,20,5,12,1,20,5,2,-4,10,0,7,-2,"Skills Perception +6","Senses darkvision 60 ft.",NA,NA,NA,NA,NA
"Hyena",0,11,0,13,1,12,1,2,-4,12,1,5,-3,"Skills Perception +3",NA,NA,NA,NA,NA,NA
"Ice Devil",14,21,5,14,2,18,4,18,4,15,2,18,4,"Saving Throws Dex +7, Con +9, Wis +7, Cha +9","Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses blindsight 60 ft., darkvision 120 ft.","Languages Infernal, telepathy 120 ft.",NA
"Ice Devil Spear",14,21,5,14,2,18,4,18,4,15,2,18,4,"Saving Throws Dex +7, Con +9, Wis +7, Cha +9","Damage Resistances bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses blindsight 60 ft., darkvision 120 ft.","Languages Infernal, telepathy 120 ft.",NA
"Ice Mephit",NA,7,-2,13,1,10,0,9,-1,11,0,12,1,"Skills Perception +2, Stealth +3","Damage Vulnerabilities bludgeoning, fire","Damage Immunities cold, poison","Condition Immunities poisoned","Senses darkvision 60 ft.","Languages Aquan, Auran",NA
"Ice Toad",1,13,1,10,0,14,2,8,-1,10,0,6,-2,"Skills Perception +2","Damage Immunities cold","Senses darkvision 60 ft.","Languages Ice Toad",NA,NA,NA
